Ev,Ho,Nap,Ora,Perc,Ws,Wd
2022,12,1,10,40,1.6,85
2022,12,1,10,41,1.8,53
2022,12,1,10,42,1.4,52
2022,12,1,10,43,1.7,82
2022,12,1,10,44,2.7,93
2022,12,1,10,45,2.7,105
2022,12,1,10,46,2.1,93
2022,12,1,10,47,1.7,94
2022,12,1,10,48,1.9,113
2022,12,1,10,49,2.5,111
2022,12,1,10,50,3.1,92
2022,12,1,10,51,2.2,62
2022,12,1,10,52,2.3,61
2022,12,1,10,53,2.2,70
2022,12,1,10,54,2.1,86
2022,12,1,10,55,2.4,86
2022,12,1,10,56,2.3,52
2022,12,1,10,57,2.5,42
2022,12,1,10,58,2.7,65
2022,12,1,10,59,2.7,93
2022,12,1,11,0,2,110
2022,12,1,11,1,0.8,121
2022,12,1,11,2,1.4,44
2022,12,1,11,3,1.7,61
2022,12,1,11,4,1.2,73
2022,12,1,11,5,1.6,55
2022,12,1,11,6,1.4,41
2022,12,1,11,7,2.6,53
2022,12,1,11,8,2.1,71
2022,12,1,11,9,1.5,53
2022,12,1,11,10,1.4,96
2022,12,1,11,11,1.1,87
2022,12,1,11,12,2.3,86
2022,12,1,11,13,2.3,62
2022,12,1,11,14,2.1,67
2022,12,1,11,15,0.5,56
2022,12,1,11,16,1,15
2022,12,1,11,17,1.3,32
2022,12,1,11,18,3.3,53
2022,12,1,11,19,2.9,62
2022,12,1,11,20,2.8,93
2022,12,1,11,21,3,83
2022,12,1,11,22,2.2,75
2022,12,1,11,23,3.2,68
2022,12,1,11,24,2.2,74
2022,12,1,11,25,2.4,52
2022,12,1,11,26,1.8,66
2022,12,1,11,27,1.9,67
2022,12,1,11,28,1.5,43
2022,12,1,11,29,1.7,53
2022,12,1,11,30,2.4,68
2022,12,1,11,31,1.5,71
2022,12,1,11,32,2.3,89
2022,12,1,11,33,1.4,77
2022,12,1,11,34,2.8,50
2022,12,1,11,35,3.1,83
2022,12,1,11,36,2.4,70
2022,12,1,11,37,1.7,81
2022,12,1,11,38,2.1,49
2022,12,1,11,39,2.3,55
2022,12,1,11,40,3.2,61
2022,12,1,11,41,2.9,84
